dummy_loss,dummy_tie,dummy_win,not_dummy_loss,not_dummy_tie,not_dummy_win
0.814,0.172,0.014,0.841,0.121,0.038
0.789,0.159,0.052,0.814,0.127,0.059
0.802,0.125,0.073,0.715,0.134,0.151
0.755,0.186,0.059,0.658,0.223,0.119
0.8,0.131,0.069,0.68,0.206,0.114
0.728,0.18,0.092,0.63,0.246,0.124
0.677,0.257,0.066,0.581,0.257,0.162
0.675,0.22,0.105,0.506,0.365,0.129
0.682,0.234,0.084,0.513,0.347,0.14
0.675,0.226,0.099,0.48,0.358,0.162
0.683,0.221,0.096,0.442,0.425,0.133
0.658,0.254,0.088,0.499,0.372,0.129
0.626,0.285,0.089,0.477,0.402,0.121
0.566,0.34,0.094,0.474,0.419,0.107
0.556,0.343,0.101,0.42,0.419,0.161
0.521,0.351,0.128,0.441,0.403,0.156
0.456,0.446,0.098,0.393,0.401,0.206
0.49,0.379,0.131,0.414,0.373,0.213
0.492,0.368,0.14,0.406,0.382,0.212
0.451,0.396,0.153,0.394,0.375,0.231
0.426,0.388,0.186,0.377,0.393,0.23
0.488,0.367,0.145,0.38,0.37,0.25
0.446,0.38,0.174,0.351,0.395,0.254
0.455,0.354,0.191,0.367,0.342,0.291
0.426,0.381,0.193,0.379,0.394,0.227
0.419,0.386,0.195,0.383,0.441,0.176
0.457,0.351,0.192,0.376,0.426,0.198
0.44,0.38,0.18,0.348,0.449,0.203
0.43,0.395,0.175,0.365,0.417,0.218
0.435,0.363,0.202,0.335,0.445,0.22
0.424,0.424,0.152,0.34,0.449,0.211
0.387,0.399,0.214,0.363,0.449,0.188
0.361,0.429,0.21,0.361,0.429,0.21
0.346,0.41,0.244,0.356,0.437,0.207
0.359,0.39,0.251,0.377,0.395,0.228
0.383,0.375,0.242,0.348,0.448,0.204
0.394,0.398,0.208,0.362,0.44,0.198
0.386,0.407,0.207,0.34,0.474,0.186
0.367,0.374,0.259,0.369,0.453,0.178
0.359,0.442,0.199,0.346,0.446,0.208
0.358,0.413,0.229,0.341,0.451,0.208
0.349,0.473,0.178,0.376,0.43,0.194
0.358,0.45,0.192,0.354,0.453,0.193
0.354,0.413,0.233,0.379,0.398,0.223
0.356,0.401,0.243,0.36,0.413,0.227
0.34,0.432,0.228,0.376,0.394,0.23
0.356,0.37,0.274,0.376,0.387,0.237
0.356,0.405,0.239,0.358,0.434,0.208
0.361,0.417,0.222,0.386,0.415,0.199
0.354,0.424,0.222,0.368,0.431,0.201
0.347,0.448,0.205,0.356,0.425,0.219
0.327,0.443,0.23,0.363,0.392,0.245
0.364,0.416,0.22,0.382,0.413,0.205
0.38,0.43,0.19,0.37,0.404,0.226
0.399,0.403,0.198,0.398,0.382,0.22
0.38,0.425,0.195,0.386,0.388,0.226
0.363,0.462,0.175,0.404,0.399,0.197
0.364,0.425,0.211,0.413,0.381,0.206
0.391,0.382,0.227,0.391,0.401,0.208
0.336,0.455,0.209,0.364,0.409,0.227
0.354,0.437,0.209,0.364,0.404,0.232
0.338,0.461,0.201,0.387,0.382,0.231
0.362,0.438,0.2,0.379,0.391,0.23
0.394,0.368,0.238,0.37,0.416,0.214
0.361,0.457,0.182,0.365,0.435,0.2
0.373,0.45,0.177,0.367,0.409,0.224
0.409,0.441,0.15,0.339,0.432,0.229
0.401,0.412,0.187,0.377,0.41,0.213
0.39,0.452,0.158,0.353,0.431,0.216
0.411,0.401,0.188,0.339,0.414,0.247
0.419,0.431,0.15,0.379,0.377,0.244
0.421,0.453,0.126,0.344,0.433,0.223
0.407,0.485,0.108,0.355,0.421,0.224
0.425,0.463,0.112,0.343,0.442,0.215
0.385,0.478,0.137,0.344,0.419,0.237
0.401,0.461,0.138,0.342,0.44,0.218
0.438,0.404,0.158,0.343,0.431,0.226
0.417,0.427,0.156,0.352,0.44,0.208
0.406,0.428,0.166,0.365,0.434,0.201
0.432,0.412,0.156,0.364,0.433,0.203
0.413,0.45,0.137,0.37,0.433,0.197
0.395,0.459,0.146,0.357,0.46,0.183
0.405,0.431,0.164,0.375,0.418,0.207
0.417,0.431,0.152,0.395,0.408,0.197
0.399,0.453,0.148,0.358,0.398,0.244
0.384,0.453,0.163,0.35,0.419,0.231
0.406,0.437,0.157,0.354,0.439,0.207
0.376,0.451,0.173,0.358,0.403,0.239
0.389,0.418,0.193,0.352,0.436,0.212
0.387,0.435,0.178,0.365,0.445,0.19
0.394,0.433,0.173,0.359,0.45,0.191
0.356,0.488,0.156,0.349,0.461,0.19
0.338,0.487,0.175,0.321,0.472,0.207
0.357,0.438,0.205,0.369,0.422,0.209
0.37,0.41,0.22,0.339,0.44,0.221
0.385,0.377,0.238,0.355,0.424,0.221
0.367,0.383,0.25,0.333,0.417,0.25
0.355,0.412,0.233,0.346,0.386,0.268
0.353,0.446,0.201,0.349,0.388,0.263
0.348,0.476,0.176,0.351,0.389,0.26
