aware_loss,aware_tie,aware_win,not_aware_loss,not_aware_tie,not_aware_win
0.078,0.081,0.841,0.279,0.124,0.597
0.078,0.081,0.841,0.279,0.124,0.597
0.054,0.094,0.852,0.222,0.073,0.705
0.042,0.115,0.843,0.176,0.091,0.733
0.03,0.091,0.879,0.162,0.074,0.764
0.029,0.093,0.878,0.111,0.092,0.797
0.022,0.095,0.883,0.104,0.093,0.803
0.015,0.096,0.889,0.094,0.09,0.816
0.009,0.076,0.915,0.09,0.068,0.842
0.016,0.09,0.894,0.08,0.078,0.842
0.017,0.084,0.899,0.073,0.086,0.841
0.014,0.082,0.904,0.077,0.082,0.841
0.016,0.084,0.9,0.072,0.09,0.838
0.01,0.108,0.882,0.055,0.089,0.856
0.015,0.108,0.877,0.052,0.079,0.869
0.012,0.089,0.899,0.03,0.092,0.878
0.022,0.077,0.901,0.044,0.096,0.86
0.015,0.091,0.894,0.039,0.092,0.869
0.012,0.084,0.904,0.032,0.107,0.861
0.007,0.084,0.909,0.026,0.1,0.874
0.013,0.077,0.91,0.038,0.104,0.858
0.011,0.076,0.913,0.035,0.094,0.871
0.01,0.075,0.915,0.031,0.088,0.881
0.011,0.072,0.917,0.036,0.082,0.882
0.012,0.087,0.901,0.033,0.084,0.883
0.021,0.084,0.895,0.034,0.085,0.881
0.016,0.074,0.91,0.032,0.088,0.88
0.02,0.08,0.9,0.031,0.09,0.879
0.017,0.085,0.898,0.039,0.102,0.859
0.014,0.073,0.913,0.033,0.093,0.874
0.012,0.093,0.895,0.025,0.097,0.878
0.017,0.09,0.893,0.031,0.091,0.878
0.015,0.077,0.908,0.021,0.088,0.891
0.016,0.073,0.911,0.023,0.093,0.884
0.018,0.075,0.907,0.025,0.092,0.883
0.027,0.069,0.904,0.019,0.087,0.894
0.021,0.075,0.904,0.029,0.09,0.881
0.02,0.068,0.912,0.034,0.092,0.874
0.017,0.083,0.9,0.027,0.095,0.878
0.03,0.076,0.894,0.023,0.093,0.884
0.021,0.073,0.906,0.025,0.096,0.879
0.017,0.093,0.89,0.022,0.096,0.882
0.03,0.08,0.89,0.027,0.096,0.877
0.014,0.071,0.915,0.028,0.102,0.87
0.02,0.066,0.914,0.018,0.092,0.89
0.008,0.074,0.918,0.022,0.08,0.898
0.015,0.08,0.905,0.027,0.085,0.888
0.017,0.093,0.89,0.025,0.083,0.892
0.023,0.083,0.894,0.028,0.087,0.885
0.012,0.087,0.901,0.033,0.087,0.88
0.014,0.087,0.899,0.027,0.098,0.875
0.021,0.08,0.899,0.036,0.1,0.864
0.015,0.069,0.916,0.029,0.093,0.878
0.013,0.069,0.918,0.033,0.085,0.882
0.021,0.069,0.91,0.03,0.076,0.894
0.014,0.068,0.918,0.026,0.087,0.887
0.016,0.094,0.89,0.028,0.087,0.885
0.019,0.075,0.906,0.023,0.079,0.898
0.026,0.08,0.894,0.024,0.079,0.897
0.022,0.09,0.888,0.031,0.08,0.889
0.022,0.083,0.895,0.025,0.072,0.903
0.016,0.097,0.887,0.018,0.09,0.892
0.02,0.09,0.89,0.016,0.082,0.902
0.011,0.081,0.908,0.021,0.096,0.883
0.016,0.088,0.896,0.019,0.102,0.879
0.014,0.075,0.911,0.023,0.104,0.873
0.015,0.086,0.899,0.025,0.101,0.874
0.021,0.082,0.897,0.025,0.087,0.888
0.021,0.087,0.892,0.026,0.096,0.878
0.019,0.088,0.893,0.028,0.116,0.856
0.016,0.088,0.896,0.026,0.103,0.871
0.027,0.077,0.896,0.024,0.103,0.873
0.021,0.095,0.884,0.027,0.108,0.865
0.012,0.105,0.883,0.024,0.105,0.871
0.017,0.09,0.893,0.021,0.094,0.885
0.029,0.079,0.892,0.021,0.099,0.88
0.014,0.072,0.914,0.018,0.108,0.874
0.014,0.075,0.911,0.023,0.107,0.87
0.022,0.082,0.896,0.025,0.106,0.869
0.018,0.08,0.902,0.028,0.091,0.881
0.018,0.092,0.89,0.025,0.094,0.881
0.012,0.077,0.911,0.027,0.079,0.894
0.019,0.1,0.881,0.021,0.097,0.882
0.017,0.074,0.909,0.019,0.089,0.892
0.016,0.081,0.903,0.018,0.096,0.886
0.012,0.078,0.91,0.019,0.079,0.902
0.015,0.067,0.918,0.025,0.095,0.88
0.016,0.075,0.909,0.027,0.093,0.88
0.012,0.08,0.908,0.024,0.095,0.881
0.016,0.078,0.906,0.023,0.1,0.877
0.016,0.091,0.893,0.031,0.088,0.881
0.015,0.091,0.894,0.025,0.09,0.885
0.016,0.071,0.913,0.023,0.084,0.893
0.027,0.062,0.911,0.024,0.094,0.882
0.029,0.056,0.915,0.023,0.09,0.887
0.023,0.086,0.891,0.021,0.099,0.88
0.015,0.075,0.91,0.02,0.102,0.878
0.027,0.085,0.888,0.016,0.091,0.893
0.017,0.077,0.906,0.022,0.086,0.892
0.02,0.072,0.908,0.025,0.085,0.89
